# FILE   COLLECTION    METHOD    UBFACTOR  TOPO     SEED     TIME
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      4       34.4276
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      5       34.3892
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      6       33.9933
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      7       34.2955
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      8       34.2642
coPapersCiteseer.graph        dimacs       SCOTCH       3       grid8x8x8      9       34.2947
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      10       18.7554
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      1       18.7569
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      2       19.1082
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      3       19.1168
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      4       19.0649
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      5       19.0975
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      6       19.0698
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      7       20.0278
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      8       19.1587
coPapersCiteseer.graph        dimacs       SCOTCH       3       hypercube2x2x2x2x2x2x2x2      9       19.13
coPapersCiteseer.graph        dimacs       SCOTCH       3       torus16x16      10       19.9556
